timestamp,version,kernel,impl,size,run_index,elapsed_ms,command
2026-08-14T21:56:41Z,v9,raytracer,cuda-oxide,10000,1,1221.817,"/home/kranex/dev/rust-metaprogramming/examples/oxide/target/release/raytracer 10000"
2026-08-14T21:56:43Z,v9,raytracer,cuda-oxide,10000,2,1070.549,"/home/kranex/dev/rust-metaprogramming/examples/oxide/target/release/raytracer 10000"
2026-08-14T21:56:45Z,v9,raytracer,cuda-oxide,10000,3,1057.553,"/home/kranex/dev/rust-metaprogramming/examples/oxide/target/release/raytracer 10000"
2026-08-14T21:56:47Z,v9,raytracer,cuda-oxide,10000,4,1051.556,"/home/kranex/dev/rust-metaprogramming/examples/oxide/target/release/raytracer 10000"
2026-08-14T21:56:49Z,v9,raytracer,cuda-oxide,10000,5,1072.341,"/home/kranex/dev/rust-metaprogramming/examples/oxide/target/release/raytracer 10000"
2026-08-14T21:56:51Z,v9,raytracer,cuda-oxide,10000,6,1036.475,"/home/kranex/dev/rust-metaprogramming/examples/oxide/target/release/raytracer 10000"
2026-08-14T21:56:53Z,v9,raytracer,cuda-oxide,10000,7,1066.409,"/home/kranex/dev/rust-metaprogramming/examples/oxide/target/release/raytracer 10000"
2026-08-14T21:56:55Z,v9,raytracer,cuda-oxide,10000,8,1054.711,"/home/kranex/dev/rust-metaprogramming/examples/oxide/target/release/raytracer 10000"
2026-08-14T21:56:57Z,v9,raytracer,cuda-oxide,10000,9,1059.141,"/home/kranex/dev/rust-metaprogramming/examples/oxide/target/release/raytracer 10000"
2026-08-14T21:56:59Z,v9,raytracer,cuda-oxide,10000,10,1056.374,"/home/kranex/dev/rust-metaprogramming/examples/oxide/target/release/raytracer 10000"
2026-08-14T21:57:02Z,v9,raytracer,cuda-oxide,10000,11,1055.889,"/home/kranex/dev/rust-metaprogramming/examples/oxide/target/release/raytracer 10000"
2026-08-14T21:57:04Z,v9,raytracer,cuda-oxide,10000,12,1073.298,"/home/kranex/dev/rust-metaprogramming/examples/oxide/target/release/raytracer 10000"
2026-08-14T21:57:06Z,v9,raytracer,cuda-oxide,10000,13,1059.618,"/home/kranex/dev/rust-metaprogramming/examples/oxide/target/release/raytracer 10000"
2026-08-14T21:57:08Z,v9,raytracer,cuda-oxide,10000,14,1060.565,"/home/kranex/dev/rust-metaprogramming/examples/oxide/target/release/raytracer 10000"
2026-08-14T21:57:10Z,v9,raytracer,cuda-oxide,10000,15,1066.341,"/home/kranex/dev/rust-metaprogramming/examples/oxide/target/release/raytracer 10000"
2026-08-14T21:57:12Z,v9,raytracer,cuda-oxide,10000,16,1057.651,"/home/kranex/dev/rust-metaprogramming/examples/oxide/target/release/raytracer 10000"
2026-08-14T21:57:14Z,v9,raytracer,cuda-oxide,10000,17,1050.441,"/home/kranex/dev/rust-metaprogramming/examples/oxide/target/release/raytracer 10000"
